Model,Train RMSE,Val RMSE,Val MAE,Val R2,Overfitting Gap (%),Improvement (%)
LightGBM,38.40680286545468,41.17597285723796,29.658790114081867,0.6289041871052642,7.210102859860883,39.092625023271225
Random Forest,20.023847081969457,41.36733220309258,29.4819696985656,0.6254469445653826,106.59033218617584,38.809566855497536
XGBoost,16.6129032955773,42.114324558371024,30.03942108154297,0.6117978096008301,153.50370016048146,37.70461801444795
